Ronda;Jugador 1;Jugador 2;Jugador 3;Jugador 4;Jugador 5;Jugador 6;Jugador 7;Jugador 8
1;15.3.2;;;;;;;
2;15.3.2;11.2.1;;;;;;
3;15.3.2;11.2.1;7.3.2;;;;;
4;15.3.2;11.2.1;7.3.2;15.1.1;;;;
5;15.3.2;11.2.1;7.3.2;15.1.1;9.1.3;;;
6;15.3.2;11.2.1;7.3.2;15.1.1;9.1.3;2.1.2;;
7;15.3.2;11.2.1;7.3.2;15.1.1;9.1.3;2.1.2;8.1.2;
8;15.3.2;11.2.1;7.3.2;15.1.1;9.1.3;2.1.2;8.1.2;10.1.1
9;10.4.2;11.2.1;7.3.2;15.1.1;9.1.3;2.1.2;8.1.2;10.1.1
10;10.4.2;12.3.2;7.3.2;15.1.1;9.1.3;2.1.2;8.1.2;10.1.1
11;10.4.2;12.3.2;12.4.1;15.1.1;9.1.3;2.1.2;8.1.2;10.1.1
12;10.4.2;12.3.2;12.4.1;12.1.2;9.1.3;2.1.2;8.1.2;10.1.1
13;10.4.2;12.3.2;12.4.1;12.1.2;14.1.3;2.1.2;8.1.2;10.1.1
14;10.4.2;12.3.2;12.4.1;12.1.2;14.1.3;2.4.1;8.1.2;10.1.1
15;10.4.2;12.3.2;12.4.1;12.1.2;14.1.3;2.4.1;16.3.3;10.1.1
16;10.4.2;12.3.2;12.4.1;12.1.2;14.1.3;2.4.1;16.3.3;17.4.3
17;10.3.1;12.3.2;12.4.1;12.1.2;14.1.3;2.4.1;16.3.3;17.4.3
18;10.3.1;3.4.3;12.4.1;12.1.2;14.1.3;2.4.1;16.3.3;17.4.3
19;10.3.1;3.4.3;3.3.3;12.1.2;14.1.3;2.4.1;16.3.3;17.4.3
20;10.3.1;3.4.3;3.3.3;4.2.1;14.1.3;2.4.1;16.3.3;17.4.3
21;10.3.1;3.4.3;3.3.3;4.2.1;18.1.2;2.4.1;16.3.3;17.4.3
22;10.3.1;3.4.3;3.3.3;4.2.1;18.1.2;18.3.2;16.3.3;17.4.3
23;10.3.1;3.4.3;3.3.3;4.2.1;18.1.2;18.3.2;5.2.3;17.4.3
24;10.3.1;3.4.3;3.3.3;4.2.1;18.1.2;18.3.2;5.2.3;4.1.1
25;5.4.1;3.4.3;3.3.3;4.2.1;18.1.2;18.3.2;5.2.3;4.1.1
26;5.4.1;6.2.3;3.3.3;4.2.1;18.1.2;18.3.2;5.2.3;4.1.1
27;5.4.1;6.2.3;6.1.3;4.2.1;18.1.2;18.3.2;5.2.3;4.1.1
28;5.4.1;6.2.3;6.1.3;18.2.2;18.1.2;18.3.2;5.2.3;4.1.1
29;5.4.1;6.2.3;6.1.3;18.2.2;13.3.2;18.3.2;5.2.3;4.1.1
30;5.4.1;6.2.3;6.1.3;18.2.2;13.3.2;10.2.2;5.2.3;4.1.1
31;5.4.1;6.2.3;6.1.3;18.2.2;13.3.2;10.2.2;1.3.3;4.1.1
32;5.4.1;6.2.3;6.1.3;18.2.2;13.3.2;10.2.2;1.3.3;14.4.2
33;11.3.1;6.2.3;6.1.3;18.2.2;13.3.2;10.2.2;1.3.3;14.4.2
34;11.3.1;7.2.2;6.1.3;18.2.2;13.3.2;10.2.2;1.3.3;14.4.2
35;11.3.1;7.2.2;7.1.1;18.2.2;13.3.2;10.2.2;1.3.3;14.4.2
36;11.3.1;7.2.2;7.1.1;14.2.1;13.3.2;10.2.2;1.3.3;14.4.2
37;11.3.1;7.2.2;7.1.1;14.2.1;12.2.2;10.2.2;1.3.3;14.4.2
38;11.3.1;7.2.2;7.1.1;14.2.1;12.2.2;11.4.2;1.3.3;14.4.2
39;11.3.1;7.2.2;7.1.1;14.2.1;12.2.2;11.4.2;15.4.2;14.4.2
40;11.3.1;7.2.2;7.1.1;14.2.1;12.2.2;11.4.2;15.4.2;8.3.1
41;8.4.2;7.2.2;7.1.1;14.2.1;12.2.2;11.4.2;15.4.2;8.3.1
42;8.4.2;17.1.2;7.1.1;14.2.1;12.2.2;11.4.2;15.4.2;8.3.1
43;8.4.2;17.1.2;16.4.2;14.2.1;12.2.2;11.4.2;15.4.2;8.3.1
44;8.4.2;17.1.2;16.4.2;2.3.2;12.2.2;11.4.2;15.4.2;8.3.1
45;8.4.2;17.1.2;16.4.2;2.3.2;13.2.3;11.4.2;15.4.2;8.3.1
46;8.4.2;17.1.2;16.4.2;2.3.2;13.2.3;1.1.2;15.4.2;8.3.1
47;8.4.2;17.1.2;16.4.2;2.3.2;13.2.3;1.1.2;16.2.1;8.3.1
