Ronda;Jugador 1;Jugador 2;Jugador 3;Jugador 4;Jugador 5;Jugador 6;Jugador 7;Jugador 8
1;12.1.2;;;;;;;
2;12.1.2;8.4.2;;;;;;
3;12.1.2;8.4.2;14.4.3;;;;;
4;12.1.2;8.4.2;14.4.3;3.1.2;;;;
5;12.1.2;8.4.2;14.4.3;3.1.2;4.3.3;;;
6;12.1.2;8.4.2;14.4.3;3.1.2;4.3.3;14.3.3;;
7;12.1.2;8.4.2;14.4.3;3.1.2;4.3.3;14.3.3;5.3.2;
8;12.1.2;8.4.2;14.4.3;3.1.2;4.3.3;14.3.3;5.3.2;16.3.2
9;7.3.3;8.4.2;14.4.3;3.1.2;4.3.3;14.3.3;5.3.2;16.3.2
10;7.3.3;7.4.2;14.4.3;3.1.2;4.3.3;14.3.3;5.3.2;16.3.2
11;7.3.3;7.4.2;6.2.2;3.1.2;4.3.3;14.3.3;5.3.2;16.3.2
12;7.3.3;7.4.2;6.2.2;12.2.2;4.3.3;14.3.3;5.3.2;16.3.2
13;7.3.3;7.4.2;6.2.2;12.2.2;1.4.2;14.3.3;5.3.2;16.3.2
14;7.3.3;7.4.2;6.2.2;12.2.2;1.4.2;17.4.1;5.3.2;16.3.2
15;7.3.3;7.4.2;6.2.2;12.2.2;1.4.2;17.4.1;3.4.1;16.3.2
16;7.3.3;7.4.2;6.2.2;12.2.2;1.4.2;17.4.1;3.4.1;15.1.3
17;2.4.3;7.4.2;6.2.2;12.2.2;1.4.2;17.4.1;3.4.1;15.1.3
18;2.4.3;11.3.1;6.2.2;12.2.2;1.4.2;17.4.1;3.4.1;15.1.3
19;2.4.3;11.3.1;11.2.3;12.2.2;1.4.2;17.4.1;3.4.1;15.1.3
20;2.4.3;11.3.1;11.2.3;7.2.1;1.4.2;17.4.1;3.4.1;15.1.3
21;2.4.3;11.3.1;11.2.3;7.2.1;4.1.3;17.4.1;3.4.1;15.1.3
22;2.4.3;11.3.1;11.2.3;7.2.1;4.1.3;18.1.1;3.4.1;15.1.3
23;2.4.3;11.3.1;11.2.3;7.2.1;4.1.3;18.1.1;14.1.1;15.1.3
24;2.4.3;11.3.1;11.2.3;7.2.1;4.1.3;18.1.1;14.1.1;14.2.3
25;10.4.3;11.3.1;11.2.3;7.2.1;4.1.3;18.1.1;14.1.1;14.2.3
26;10.4.3;15.4.3;11.2.3;7.2.1;4.1.3;18.1.1;14.1.1;14.2.3
27;10.4.3;15.4.3;18.4.1;7.2.1;4.1.3;18.1.1;14.1.1;14.2.3
28;10.4.3;15.4.3;18.4.1;18.3.1;4.1.3;18.1.1;14.1.1;14.2.3
29;10.4.3;15.4.3;18.4.1;18.3.1;2.2.1;18.1.1;14.1.1;14.2.3
30;10.4.3;15.4.3;18.4.1;18.3.1;2.2.1;17.3.2;14.1.1;14.2.3
31;10.4.3;15.4.3;18.4.1;18.3.1;2.2.1;17.3.2;4.4.1;14.2.3
32;10.4.3;15.4.3;18.4.1;18.3.1;2.2.1;17.3.2;4.4.1;13.1.1
33;13.4.1;15.4.3;18.4.1;18.3.1;2.2.1;17.3.2;4.4.1;13.1.1
34;13.4.1;5.1.2;18.4.1;18.3.1;2.2.1;17.3.2;4.4.1;13.1.1
35;13.4.1;5.1.2;10.3.2;18.3.1;2.2.1;17.3.2;4.4.1;13.1.1
36;13.4.1;5.1.2;10.3.2;6.4.2;2.2.1;17.3.2;4.4.1;13.1.1
37;13.4.1;5.1.2;10.3.2;6.4.2;1.2.1;17.3.2;4.4.1;13.1.1
38;13.4.1;5.1.2;10.3.2;6.4.2;1.2.1;8.2.2;4.4.1;13.1.1
39;13.4.1;5.1.2;10.3.2;6.4.2;1.2.1;8.2.2;15.3.3;13.1.1
40;13.4.1;5.1.2;10.3.2;6.4.2;1.2.1;8.2.2;15.3.3;5.4.2
41;2.3.2;5.1.2;10.3.2;6.4.2;1.2.1;8.2.2;15.3.3;5.4.2
42;2.3.2;9.2.3;10.3.2;6.4.2;1.2.1;8.2.2;15.3.3;5.4.2
43;2.3.2;9.2.3;16.1.2;6.4.2;1.2.1;8.2.2;15.3.3;5.4.2
44;2.3.2;9.2.3;16.1.2;16.4.1;1.2.1;8.2.2;15.3.3;5.4.2
45;2.3.2;9.2.3;16.1.2;16.4.1;3.3.3;8.2.2;15.3.3;5.4.2
46;2.3.2;9.2.3;16.1.2;16.4.1;3.3.3;9.3.3;15.3.3;5.4.2
47;2.3.2;9.2.3;16.1.2;16.4.1;3.3.3;9.3.3;11.4.2;5.4.2
48;2.3.2;9.2.3;16.1.2;16.4.1;3.3.3;9.3.3;11.4.2;1.3.1
49;6.3.2;9.2.3;16.1.2;16.4.1;3.3.3;9.3.3;11.4.2;1.3.1
50;6.3.2;5.2.1;16.1.2;16.4.1;3.3.3;9.3.3;11.4.2;1.3.1
51;6.3.2;5.2.1;7.1.2;16.4.1;3.3.3;9.3.3;11.4.2;1.3.1
52;6.3.2;5.2.1;7.1.2;13.3.2;3.3.3;9.3.3;11.4.2;1.3.1
53;6.3.2;5.2.1;7.1.2;13.3.2;16.2.1;9.3.3;11.4.2;1.3.1
54;6.3.2;5.2.1;7.1.2;13.3.2;16.2.1;9.4.1;11.4.2;1.3.1
55;6.3.2;5.2.1;7.1.2;13.3.2;16.2.1;9.4.1;9.1.2;1.3.1
56;6.3.2;5.2.1;7.1.2;13.3.2;16.2.1;9.4.1;9.1.2;6.1.1
